fSW (MHz),I(IN),I(OUT),V(OUT),V(IN),A_T,A_B
5.00E+07,-1.49E-02,6.97E-03,1.85E+00,1,0.01,0.01
5.50E+07,-1.62E-02,7.60E-03,1.85E+00,1,0.01,0.01
6.00E+07,-1.75E-02,8.21E-03,1.85E+00,1,0.01,0.01
6.50E+07,-1.88E-02,8.78E-03,1.85E+00,1,0.01,0.01
7.00E+07,-1.99E-02,9.32E-03,1.85E+00,1,0.01,0.01
7.50E+07,-2.10E-02,9.82E-03,1.85E+00,1,0.01,0.01
8.00E+07,-2.21E-02,1.03E-02,1.85E+00,1,0.01,0.01
8.50E+07,-2.30E-02,1.07E-02,1.85E+00,1,0.01,0.01
9.00E+07,-2.39E-02,1.11E-02,1.85E+00,1,0.01,0.01
9.50E+07,-2.47E-02,1.15E-02,1.85E+00,1,0.01,0.01
1.00E+08,-2.55E-02,1.18E-02,1.85E+00,1,0.01,0.01
1.05E+08,-2.62E-02,1.21E-02,1.85E+00,1,0.01,0.01
1.10E+08,-2.69E-02,1.24E-02,1.85E+00,1,0.01,0.01
1.15E+08,-2.75E-02,1.27E-02,1.85E+00,1,0.01,0.01
1.20E+08,-2.81E-02,1.29E-02,1.85E+00,1,0.01,0.01
1.25E+08,-2.86E-02,1.32E-02,1.85E+00,1,0.01,0.01
1.30E+08,-2.91E-02,1.34E-02,1.85E+00,1,0.01,0.01
1.35E+08,-2.96E-02,1.35E-02,1.85E+00,1,0.01,0.01
1.40E+08,-3.00E-02,1.37E-02,1.85E+00,1,0.01,0.01
1.45E+08,-3.04E-02,1.39E-02,1.85E+00,1,0.01,0.01
1.50E+08,-3.08E-02,1.40E-02,1.85E+00,1,0.01,0.01
1.55E+08,-3.11E-02,1.41E-02,1.85E+00,1,0.01,0.01
1.60E+08,-3.14E-02,1.42E-02,1.85E+00,1,0.01,0.01
1.65E+08,-3.17E-02,1.43E-02,1.85E+00,1,0.01,0.01
1.70E+08,-3.20E-02,1.44E-02,1.85E+00,1,0.01,0.01
1.75E+08,-3.22E-02,1.45E-02,1.85E+00,1,0.01,0.01
1.80E+08,-3.25E-02,1.46E-02,1.85E+00,1,0.01,0.01
1.85E+08,-3.27E-02,1.46E-02,1.85E+00,1,0.01,0.01
1.90E+08,-3.29E-02,1.47E-02,1.85E+00,1,0.01,0.01
1.95E+08,-3.31E-02,1.48E-02,1.85E+00,1,0.01,0.01
2.00E+08,-3.33E-02,1.48E-02,1.85E+00,1,0.01,0.01
2.05E+08,-3.35E-02,1.48E-02,1.85E+00,1,0.01,0.01
2.10E+08,-3.37E-02,1.49E-02,1.85E+00,1,0.01,0.01
2.15E+08,-3.38E-02,1.49E-02,1.85E+00,1,0.01,0.01
2.20E+08,-3.40E-02,1.49E-02,1.85E+00,1,0.01,0.01
2.25E+08,-3.41E-02,1.50E-02,1.85E+00,1,0.01,0.01
2.30E+08,-3.42E-02,1.50E-02,1.85E+00,1,0.01,0.01
2.35E+08,-3.44E-02,1.50E-02,1.85E+00,1,0.01,0.01
2.40E+08,-3.45E-02,1.50E-02,1.85E+00,1,0.01,0.01
2.45E+08,-3.46E-02,1.50E-02,1.85E+00,1,0.01,0.01
2.50E+08,-3.47E-02,1.50E-02,1.85E+00,1,0.01,0.01
5.00E+07,-1.51E-02,5.26E-03,1.85E+00,1,0.05,0.05
5.50E+07,-1.65E-02,5.71E-03,1.85E+00,1,0.05,0.05
6.00E+07,-1.78E-02,6.14E-03,1.85E+00,1,0.05,0.05
6.50E+07,-1.91E-02,6.53E-03,1.85E+00,1,0.05,0.05
7.00E+07,-2.02E-02,6.88E-03,1.85E+00,1,0.05,0.05
7.50E+07,-2.13E-02,7.20E-03,1.85E+00,1,0.05,0.05
8.00E+07,-2.24E-02,7.49E-03,1.85E+00,1,0.05,0.05
8.50E+07,-2.33E-02,7.73E-03,1.85E+00,1,0.05,0.05
9.00E+07,-2.42E-02,7.95E-03,1.85E+00,1,0.05,0.05
9.50E+07,-2.50E-02,8.13E-03,1.85E+00,1,0.05,0.05
1.00E+08,-2.58E-02,8.28E-03,1.85E+00,1,0.05,0.05
1.05E+08,-2.65E-02,8.41E-03,1.85E+00,1,0.05,0.05
1.10E+08,-2.72E-02,8.50E-03,1.85E+00,1,0.05,0.05
1.15E+08,-2.78E-02,8.58E-03,1.85E+00,1,0.05,0.05
1.20E+08,-2.84E-02,8.63E-03,1.85E+00,1,0.05,0.05
1.25E+08,-2.89E-02,8.66E-03,1.85E+00,1,0.05,0.05
1.30E+08,-2.94E-02,8.67E-03,1.85E+00,1,0.05,0.05
1.35E+08,-2.98E-02,8.66E-03,1.85E+00,1,0.05,0.05
1.40E+08,-3.02E-02,8.63E-03,1.85E+00,1,0.05,0.05
1.45E+08,-3.06E-02,8.60E-03,1.85E+00,1,0.05,0.05
1.50E+08,-3.10E-02,8.54E-03,1.85E+00,1,0.05,0.05
1.55E+08,-3.13E-02,8.48E-03,1.85E+00,1,0.05,0.05
1.60E+08,-3.16E-02,8.40E-03,1.85E+00,1,0.05,0.05
1.65E+08,-3.19E-02,8.32E-03,1.85E+00,1,0.05,0.05
1.70E+08,-3.22E-02,8.22E-03,1.85E+00,1,0.05,0.05
1.75E+08,-3.24E-02,8.11E-03,1.85E+00,1,0.05,0.05
1.80E+08,-3.27E-02,8.00E-03,1.85E+00,1,0.05,0.05
1.85E+08,-3.29E-02,7.88E-03,1.85E+00,1,0.05,0.05
1.90E+08,-3.31E-02,7.75E-03,1.85E+00,1,0.05,0.05
1.95E+08,-3.33E-02,7.62E-03,1.85E+00,1,0.05,0.05
2.00E+08,-3.35E-02,7.48E-03,1.85E+00,1,0.05,0.05
2.05E+08,-3.36E-02,7.33E-03,1.85E+00,1,0.05,0.05
2.10E+08,-3.38E-02,7.18E-03,1.85E+00,1,0.05,0.05
2.15E+08,-3.39E-02,7.02E-03,1.85E+00,1,0.05,0.05
2.20E+08,-3.41E-02,6.86E-03,1.85E+00,1,0.05,0.05
2.25E+08,-3.42E-02,6.70E-03,1.85E+00,1,0.05,0.05
2.30E+08,-3.43E-02,6.53E-03,1.85E+00,1,0.05,0.05
2.35E+08,-3.45E-02,6.36E-03,1.85E+00,1,0.05,0.05
2.40E+08,-3.46E-02,6.19E-03,1.85E+00,1,0.05,0.05
2.45E+08,-3.47E-02,6.01E-03,1.85E+00,1,0.05,0.05
2.50E+08,-3.48E-02,5.83E-03,1.85E+00,1,0.05,0.05
5.00E+07,-1.44E-02,6.97E-03,1.85E+00,1,0.01,0
5.50E+07,-1.57E-02,7.61E-03,1.85E+00,1,0.01,0
6.00E+07,-1.69E-02,8.21E-03,1.85E+00,1,0.01,0
6.50E+07,-1.81E-02,8.78E-03,1.85E+00,1,0.01,0
7.00E+07,-1.92E-02,9.32E-03,1.85E+00,1,0.01,0
7.50E+07,-2.03E-02,9.83E-03,1.85E+00,1,0.01,0
8.00E+07,-2.13E-02,1.03E-02,1.85E+00,1,0.01,0
8.50E+07,-2.22E-02,1.07E-02,1.85E+00,1,0.01,0
9.00E+07,-2.30E-02,1.11E-02,1.85E+00,1,0.01,0
9.50E+07,-2.38E-02,1.15E-02,1.85E+00,1,0.01,0
1.00E+08,-2.46E-02,1.18E-02,1.85E+00,1,0.01,0
1.05E+08,-2.52E-02,1.22E-02,1.85E+00,1,0.01,0
1.10E+08,-2.59E-02,1.25E-02,1.85E+00,1,0.01,0
1.15E+08,-2.64E-02,1.27E-02,1.85E+00,1,0.01,0
1.20E+08,-2.70E-02,1.30E-02,1.85E+00,1,0.01,0
1.25E+08,-2.74E-02,1.32E-02,1.85E+00,1,0.01,0
1.30E+08,-2.79E-02,1.34E-02,1.85E+00,1,0.01,0
1.35E+08,-2.83E-02,1.36E-02,1.85E+00,1,0.01,0
1.40E+08,-2.87E-02,1.37E-02,1.85E+00,1,0.01,0
1.45E+08,-2.90E-02,1.39E-02,1.85E+00,1,0.01,0
1.50E+08,-2.93E-02,1.40E-02,1.85E+00,1,0.01,0
1.55E+08,-2.96E-02,1.41E-02,1.85E+00,1,0.01,0
1.60E+08,-2.99E-02,1.43E-02,1.85E+00,1,0.01,0
1.65E+08,-3.02E-02,1.44E-02,1.85E+00,1,0.01,0
1.70E+08,-3.04E-02,1.44E-02,1.85E+00,1,0.01,0
1.75E+08,-3.06E-02,1.45E-02,1.85E+00,1,0.01,0
1.80E+08,-3.08E-02,1.46E-02,1.85E+00,1,0.01,0
1.85E+08,-3.10E-02,1.47E-02,1.85E+00,1,0.01,0
1.90E+08,-3.11E-02,1.47E-02,1.85E+00,1,0.01,0
1.95E+08,-3.13E-02,1.48E-02,1.85E+00,1,0.01,0
2.00E+08,-3.14E-02,1.48E-02,1.85E+00,1,0.01,0
2.05E+08,-3.16E-02,1.49E-02,1.85E+00,1,0.01,0
2.10E+08,-3.17E-02,1.49E-02,1.85E+00,1,0.01,0
2.15E+08,-3.18E-02,1.50E-02,1.85E+00,1,0.01,0
2.20E+08,-3.19E-02,1.50E-02,1.85E+00,1,0.01,0
2.25E+08,-3.20E-02,1.50E-02,1.85E+00,1,0.01,0
2.30E+08,-3.21E-02,1.50E-02,1.85E+00,1,0.01,0
2.35E+08,-3.22E-02,1.50E-02,1.85E+00,1,0.01,0
2.40E+08,-3.22E-02,1.51E-02,1.85E+00,1,0.01,0
2.45E+08,-3.23E-02,1.51E-02,1.85E+00,1,0.01,0
2.50E+08,-3.24E-02,1.51E-02,1.85E+00,1,0.01,0
5.00E+07,-1.27E-02,5.27E-03,1.85E+00,1,0.05,0
5.50E+07,-1.38E-02,5.72E-03,1.85E+00,1,0.05,0
6.00E+07,-1.49E-02,6.15E-03,1.85E+00,1,0.05,0
6.50E+07,-1.59E-02,6.55E-03,1.85E+00,1,0.05,0
7.00E+07,-1.68E-02,6.91E-03,1.85E+00,1,0.05,0
7.50E+07,-1.77E-02,7.24E-03,1.85E+00,1,0.05,0
8.00E+07,-1.85E-02,7.53E-03,1.85E+00,1,0.05,0
8.50E+07,-1.92E-02,7.78E-03,1.85E+00,1,0.05,0
9.00E+07,-1.99E-02,8.00E-03,1.85E+00,1,0.05,0
9.50E+07,-2.05E-02,8.19E-03,1.85E+00,1,0.05,0
1.00E+08,-2.10E-02,8.35E-03,1.85E+00,1,0.05,0
1.05E+08,-2.15E-02,8.48E-03,1.85E+00,1,0.05,0
1.10E+08,-2.19E-02,8.58E-03,1.85E+00,1,0.05,0
1.15E+08,-2.23E-02,8.66E-03,1.85E+00,1,0.05,0
1.20E+08,-2.26E-02,8.72E-03,1.85E+00,1,0.05,0
1.25E+08,-2.29E-02,8.76E-03,1.85E+00,1,0.05,0
1.30E+08,-2.32E-02,8.77E-03,1.85E+00,1,0.05,0
1.35E+08,-2.34E-02,8.77E-03,1.85E+00,1,0.05,0
1.40E+08,-2.36E-02,8.75E-03,1.85E+00,1,0.05,0
1.45E+08,-2.38E-02,8.72E-03,1.85E+00,1,0.05,0
1.50E+08,-2.39E-02,8.67E-03,1.85E+00,1,0.05,0
1.55E+08,-2.40E-02,8.61E-03,1.85E+00,1,0.05,0
1.60E+08,-2.41E-02,8.54E-03,1.85E+00,1,0.05,0
1.65E+08,-2.41E-02,8.45E-03,1.85E+00,1,0.05,0
1.70E+08,-2.42E-02,8.36E-03,1.85E+00,1,0.05,0
1.75E+08,-2.42E-02,8.26E-03,1.85E+00,1,0.05,0
1.80E+08,-2.42E-02,8.15E-03,1.85E+00,1,0.05,0
1.85E+08,-2.42E-02,8.03E-03,1.85E+00,1,0.05,0
1.90E+08,-2.42E-02,7.91E-03,1.85E+00,1,0.05,0
1.95E+08,-2.42E-02,7.78E-03,1.85E+00,1,0.05,0
2.00E+08,-2.41E-02,7.64E-03,1.85E+00,1,0.05,0
2.05E+08,-2.41E-02,7.50E-03,1.85E+00,1,0.05,0
2.10E+08,-2.40E-02,7.35E-03,1.85E+00,1,0.05,0
2.15E+08,-2.39E-02,7.19E-03,1.85E+00,1,0.05,0
2.20E+08,-2.38E-02,7.04E-03,1.85E+00,1,0.05,0
2.25E+08,-2.37E-02,6.87E-03,1.85E+00,1,0.05,0
2.30E+08,-2.36E-02,6.71E-03,1.85E+00,1,0.05,0
2.35E+08,-2.35E-02,6.54E-03,1.85E+00,1,0.05,0
2.40E+08,-2.34E-02,6.37E-03,1.85E+00,1,0.05,0
2.45E+08,-2.33E-02,6.19E-03,1.85E+00,1,0.05,0
2.50E+08,-2.32E-02,6.01E-03,1.85E+00,1,0.05,0
5.00E+07,-1.53E-02,7.40E-03,1.85E+00,1,0,0.01
5.50E+07,-1.67E-02,8.07E-03,1.85E+00,1,0,0.01
6.00E+07,-1.80E-02,8.72E-03,1.85E+00,1,0,0.01
6.50E+07,-1.93E-02,9.34E-03,1.85E+00,1,0,0.01
7.00E+07,-2.05E-02,9.92E-03,1.85E+00,1,0,0.01
7.50E+07,-2.17E-02,1.05E-02,1.85E+00,1,0,0.01
8.00E+07,-2.28E-02,1.10E-02,1.85E+00,1,0,0.01
8.50E+07,-2.38E-02,1.15E-02,1.85E+00,1,0,0.01
9.00E+07,-2.47E-02,1.19E-02,1.85E+00,1,0,0.01
9.50E+07,-2.56E-02,1.23E-02,1.85E+00,1,0,0.01
1.00E+08,-2.64E-02,1.27E-02,1.85E+00,1,0,0.01
1.05E+08,-2.72E-02,1.31E-02,1.85E+00,1,0,0.01
1.10E+08,-2.79E-02,1.34E-02,1.85E+00,1,0,0.01
1.15E+08,-2.86E-02,1.37E-02,1.85E+00,1,0,0.01
1.20E+08,-2.92E-02,1.40E-02,1.85E+00,1,0,0.01
1.25E+08,-2.97E-02,1.43E-02,1.85E+00,1,0,0.01
1.30E+08,-3.03E-02,1.45E-02,1.85E+00,1,0,0.01
1.35E+08,-3.08E-02,1.47E-02,1.85E+00,1,0,0.01
1.40E+08,-3.13E-02,1.49E-02,1.85E+00,1,0,0.01
1.45E+08,-3.17E-02,1.51E-02,1.85E+00,1,0,0.01
1.50E+08,-3.21E-02,1.53E-02,1.85E+00,1,0,0.01
1.55E+08,-3.25E-02,1.55E-02,1.85E+00,1,0,0.01
1.60E+08,-3.29E-02,1.57E-02,1.85E+00,1,0,0.01
1.65E+08,-3.32E-02,1.58E-02,1.85E+00,1,0,0.01
1.70E+08,-3.35E-02,1.59E-02,1.85E+00,1,0,0.01
1.75E+08,-3.38E-02,1.61E-02,1.85E+00,1,0,0.01
1.80E+08,-3.41E-02,1.62E-02,1.85E+00,1,0,0.01
1.85E+08,-3.44E-02,1.63E-02,1.85E+00,1,0,0.01
1.90E+08,-3.47E-02,1.64E-02,1.85E+00,1,0,0.01
1.95E+08,-3.49E-02,1.65E-02,1.85E+00,1,0,0.01
2.00E+08,-3.51E-02,1.66E-02,1.85E+00,1,0,0.01
2.05E+08,-3.54E-02,1.67E-02,1.85E+00,1,0,0.01
2.10E+08,-3.56E-02,1.68E-02,1.85E+00,1,0,0.01
2.15E+08,-3.58E-02,1.69E-02,1.85E+00,1,0,0.01
2.20E+08,-3.60E-02,1.69E-02,1.85E+00,1,0,0.01
2.25E+08,-3.62E-02,1.70E-02,1.85E+00,1,0,0.01
2.30E+08,-3.63E-02,1.71E-02,1.85E+00,1,0,0.01
2.35E+08,-3.65E-02,1.71E-02,1.85E+00,1,0,0.01
2.40E+08,-3.67E-02,1.72E-02,1.85E+00,1,0,0.01
2.45E+08,-3.68E-02,1.72E-02,1.85E+00,1,0,0.01
2.50E+08,-3.70E-02,1.73E-02,1.85E+00,1,0,0.01
5.00E+07,-1.73E-02,7.39E-03,1.85E+00,1,0,0.05
5.50E+07,-1.89E-02,8.07E-03,1.85E+00,1,0,0.05
6.00E+07,-2.04E-02,8.71E-03,1.85E+00,1,0,0.05
6.50E+07,-2.19E-02,9.32E-03,1.85E+00,1,0,0.05
7.00E+07,-2.33E-02,9.90E-03,1.85E+00,1,0,0.05
7.50E+07,-2.46E-02,1.04E-02,1.85E+00,1,0,0.05
8.00E+07,-2.59E-02,1.10E-02,1.85E+00,1,0,0.05
8.50E+07,-2.71E-02,1.14E-02,1.85E+00,1,0,0.05
9.00E+07,-2.82E-02,1.19E-02,1.85E+00,1,0,0.05
9.50E+07,-2.93E-02,1.23E-02,1.85E+00,1,0,0.05
1.00E+08,-3.03E-02,1.27E-02,1.85E+00,1,0,0.05
1.05E+08,-3.12E-02,1.30E-02,1.85E+00,1,0,0.05
1.10E+08,-3.21E-02,1.33E-02,1.85E+00,1,0,0.05
1.15E+08,-3.29E-02,1.36E-02,1.85E+00,1,0,0.05
1.20E+08,-3.37E-02,1.39E-02,1.85E+00,1,0,0.05
1.25E+08,-3.45E-02,1.42E-02,1.85E+00,1,0,0.05
1.30E+08,-3.52E-02,1.44E-02,1.85E+00,1,0,0.05
1.35E+08,-3.59E-02,1.46E-02,1.85E+00,1,0,0.05
1.40E+08,-3.66E-02,1.49E-02,1.85E+00,1,0,0.05
1.45E+08,-3.72E-02,1.50E-02,1.85E+00,1,0,0.05
1.50E+08,-3.78E-02,1.52E-02,1.85E+00,1,0,0.05
1.55E+08,-3.83E-02,1.54E-02,1.85E+00,1,0,0.05
1.60E+08,-3.89E-02,1.55E-02,1.85E+00,1,0,0.05
1.65E+08,-3.94E-02,1.57E-02,1.85E+00,1,0,0.05
1.70E+08,-3.99E-02,1.58E-02,1.85E+00,1,0,0.05
1.75E+08,-4.04E-02,1.60E-02,1.85E+00,1,0,0.05
1.80E+08,-4.09E-02,1.61E-02,1.85E+00,1,0,0.05
1.85E+08,-4.13E-02,1.62E-02,1.85E+00,1,0,0.05
1.90E+08,-4.18E-02,1.63E-02,1.85E+00,1,0,0.05
1.95E+08,-4.22E-02,1.64E-02,1.85E+00,1,0,0.05
2.00E+08,-4.26E-02,1.65E-02,1.85E+00,1,0,0.05
2.05E+08,-4.30E-02,1.66E-02,1.85E+00,1,0,0.05
2.10E+08,-4.34E-02,1.66E-02,1.85E+00,1,0,0.05
2.15E+08,-4.38E-02,1.67E-02,1.85E+00,1,0,0.05
2.20E+08,-4.42E-02,1.68E-02,1.85E+00,1,0,0.05
2.25E+08,-4.45E-02,1.69E-02,1.85E+00,1,0,0.05
2.30E+08,-4.49E-02,1.69E-02,1.85E+00,1,0,0.05
2.35E+08,-4.53E-02,1.70E-02,1.85E+00,1,0,0.05
2.40E+08,-4.56E-02,1.70E-02,1.85E+00,1,0,0.05
2.45E+08,-4.59E-02,1.71E-02,1.85E+00,1,0,0.05
2.50E+08,-4.63E-02,1.71E-02,1.85E+00,1,0,0.05